id,course,mode,tutorial,studio,major
9e19ce31-91c4-417c-904a-814af5e53b33,IN27,FT,TUT 6,STU 3, 
62c57bd2-7e97-4267-ba7d-7dc3fcac2916,IN27,FT,TUT 2,STU 2, 
b19759cc-53f4-4863-b68d-000b0eb54d09,IN27,FT,TUT 5,STU 3, 
b81780c1-602a-42b6-aa61-379e8b2c90af,IN27,FT,TUT 1,STU 1,IN27MJR-COMPDAT
50e69e94-6f01-47ed-bb61-3ddda405bd59,IN27,FT,TUT 3,STU 1,IN27MJR-BIOMEDS
1448b3a5-8932-4246-a1eb-9ed43503cd2a,IN20,PT,TUT 5,STU 1,IN20MJR-BUSANAL
d7d24dda-46f0-4de6-9481-302c0708fbed,IN27,FT,TUT 3,STU 3,IN27MJR-COMPDAT
dded2770-72ac-4f25-ba07-5f3238deb793,IN27,FT,TUT 6,STU 1,IN27MJR-COMPDAT
f5370083-6f3e-40cb-9feb-381609cbb14f,IN20,FT,TUT 1,STU 3,IN20MJR-BUSANAL
1c77ec27-607f-4040-aa80-47171f9703c5,IN20,FT,TUT 5,STU 2,IN20MJR-DATASC
1e2aebbe-9dfe-42fc-805d-c0a38f9e2137,IN27,FT,TUT 2,STU 2, 
dceac52f-2a92-4d11-b00f-9a19915f7209,IN20,FT,TUT 1,STU 1,IN20MJR-DATASC
fce638bd-07c9-45b2-9929-0f94a2ff2f6e,IN20,FT,TUT 2,STU 2,IN20MJR-BUSPMGT
f665bb48-a470-4e1e-b777-f3d42d0f3c84,IN27,FT,TUT 1,STU 3,IN27MJR-COMPDAT
ec527530-f7b3-414e-9d23-31efd2d106fb,IN20,FT,TUT 5,,IN20MJR-SOFTDEV
6dd57a34-036e-4b65-a56b-62bc51d5884d,IN27,FT,TUT 1,STU 2, 
953b8a9b-4b35-414d-addc-9e89df5f8f3b,IN20,FT,TUT 6,STU 3,IN20MJR-DATASC
15883567-a599-4d0c-b079-e147e46a752b,IN27,PT,TUT 6,STU 3,IN27MJR-STATDAT
e63aa069-2432-4a10-8641-c7c79c67865f,IN27,FT,TUT 1,STU 1, 
5d4e539c-ed6e-4f49-bd61-13a1e35e7ae9,IN27,FT,TUT 1,STU 1,IN27MJR-STATDAT
70dae620-ea49-46cf-b5fb-86d9dda89e2c,IN27,FT,TUT 2,STU 3,IN27MJR-COMPDAT
40b1b929-3cef-4318-b945-956814985682,IN27,FT,TUT 3,STU 2, 
8ac5284c-dc47-466d-b017-61a2b52c3c25,IN27,FT,TUT 2,STU 2, 
85a2c5f1-32ea-40e9-8624-c279ccfe7540,IN27,FT,TUT 5,STU 1,IN27MJR-STATDAT
c28ec880-187c-4fac-a700-472a130af291,IN20,PT,TUT 2,STU 2,IN20MJR-BUSANAL
c4d42cb6-be45-4d2f-af6b-64b13d5a66e7,IN27,FT,TUT 3,STU 1,IN27MJR-COMPDAT
73fb8fa9-a0b4-498c-8ed4-b4422738ce5a,IN27,FT,TUT 6,STU 1,IN27MJR-COMPDAT
2bfa68be-7472-457a-bf3d-abc4ba7f2877,IN20,FT,TUT 2,STU 3,IN20MJR-COMPSC
bc020ca9-267e-4305-9010-7d6e84f00c7c,IN27,FT,TUT 1,STU 3,IN27MJR-STATDAT
8fd4c920-38f4-4e62-9cae-5f2073865dbf,IN27,FT,TUT 2,STU 1,IN27MJR-COMPDAT
d690326a-b3cf-4187-8199-46716161c65f,IN20,PT,TUT 6,STU 3,IN20MJR-SOFTDEV
62769090-cd94-4d09-8c1f-a607d06fd4a7,IN27,FT,TUT 2,STU 3, 
1cf7f58c-a94c-489a-8d00-2838a172ce86,,FT,TUT 3,STU 3,
196517ff-72ea-49a4-948d-0bf070daa221,IN27,PT,TUT 5,STU 3, 
14c57ca1-1aeb-46b3-a469-f924c81f91f1,IN20,FT,TUT 2,STU 2,IN20MJR-BUSANAL
5bf0a933-f4f1-4303-80c9-b8af3bb70ccf,IN20,FT,TUT 3,STU 1,IN20MJR-DATASC
64d3544e-ce8e-4f6a-8760-f08bf0147869,IN27,FP,TUT 1,STU 3, 
6c599743-cade-4e2c-a53e-687c78243e0b,IN20,PT,TUT 3,STU 1,IN20MJR-EXECIT
66367694-e275-42ad-806e-49e022c35744,IN26,PT,TUT 5,STU 3, 
cfdd28ff-497a-4781-b493-3d2b96e8cdda,IN20,FT,TUT 1,STU 2,IN20MJR-DATASC
64cbab4c-88f1-427d-91e7-8695bc018bd0,IN20,FT,TUT 1,STU 1,IN20MJR-COMPSC
534c1af7-7fd6-49b1-8dcd-a850b36646a6,IN27,FT,TUT 3,STU 2,IN27MJR-COMPDAT
ee19cbf0-d903-4d42-a9db-55a5b7e9f21c,IN27,FT,TUT 2,STU 1,IN27MJR-BIOMEDS
63dd47e0-d33e-4be4-9792-8e1ff25f8081,IN27,FT,TUT 1,STU 1,IN27MJR-COMPDAT
6568b67d-7906-489d-a4e4-b66b3c5b01e3,IN27,FT,,STU 3,IN27MJR-BIOMEDS
e32a8a69-04a6-40f3-be54-335603ceadf5,IN27,FT,TUT 6,STU 3,IN27MJR-STATDAT
9b750e73-eeee-4d5c-b0a6-52999bf62b51,IN20,FT,TUT 5,STU 2,IN20MJR-DATASC
f2c6339f-5f54-49a5-afc7-fe54d0557913,IN26,PT,TUT 1,STU 3, 
